MovieID,Title,Genre,ReleaseDate,Rating,Votes,Revenue (Million USD)
48,Movie 48,"Romance, Adventure, Comedy",1997-02-25,7.0,2236602,1229.1
49,Movie 49,"Thriller, Action, Animation",1996-03-19,9.4,1213446,162.9
50,Movie 50,"Adventure, Thriller, Animation",2000-07-20,9.4,585053,1186.3
51,Movie 51,"Romance, Sci-Fi, Action",2007-01-17,9.2,2358431,2076.2
52,Movie 52,"Romance, Thriller, Family",1984-11-11,8.2,622716,2173.3
53,Movie 53,"Family, Sci-Fi",2022-07-11,7.4,1340067,1685.5
54,Movie 54,Adventure,2022-07-22,8.6,829923,1865.8
55,Movie 55,"Adventure, Action",1999-05-07,7.5,1451611,1421.7
56,Movie 56,"Romance, Animation",1990-11-03,7.0,1505881,325.5
57,Movie 57,Sci-Fi,1994-04-05,6.1,1126944,2952.6
58,Movie 58,"Drama, Animation, Romance",2020-10-07,8.5,1710522,1508.4
59,Movie 59,Comedy,2021-12-01,9.1,547059,2346.3
60,Movie 60,Comedy,2013-08-02,8.0,609014,1396.6
61,Movie 61,"Family, Thriller",2008-10-27,8.5,2217193,1308.9
62,Movie 62,"Animation, Comedy, Thriller",2010-08-09,8.6,1263128,2309.2
63,Movie 63,"Animation, Romance, Comedy",2008-02-23,7.0,1239655,1040.8
64,Movie 64,"Drama, Comedy, Family",1994-07-23,6.5,997383,239.5
65,Movie 65,"Thriller, Animation",2006-01-07,8.9,1733584,2719.3
66,Movie 66,"Action, Adventure, Romance",1980-06-10,8.6,1857502,1637.8
67,Movie 67,"Family, Romance, Animation",1994-05-14,7.7,1730985,1041.6
68,Movie 68,"Adventure, Comedy, Family",2009-03-20,7.9,1752640,1796.1
69,Movie 69,"Action, Drama, Thriller",2007-03-28,7.6,310909,817.5
70,Movie 70,"Romance, Animation",2000-06-25,9.1,1267092,2268.4
71,Movie 71,"Sci-Fi, Drama",2010-01-24,7.9,1567840,711.5
72,Movie 72,Action,1981-04-07,8.9,739137,753.7
73,Movie 73,"Drama, Romance",2009-12-09,8.7,803758,1837.4
74,Movie 74,"Drama, Comedy, Animation",1986-10-01,9.3,1674151,1220.1
75,Movie 75,"Romance, Drama, Sci-Fi",2020-04-04,8.4,1364929,2558.4
76,Movie 76,"Drama, Action, Comedy",2014-07-22,7.3,2222153,1960.3
77,Movie 77,Adventure,2011-02-14,9.4,2028286,2136.6
78,Movie 78,"Comedy, Sci-Fi",2019-09-25,7.7,1926931,2485.9
79,Movie 79,"Sci-Fi, Thriller, Adventure",1995-02-09,9.1,1122837,2263.9
80,Movie 80,"Adventure, Thriller, Action",2011-06-06,7.7,1588243,2403.6
81,Movie 81,"Sci-Fi, Family",2015-01-17,9.3,459086,762.0
82,Movie 82,"Animation, Romance",2010-11-23,7.7,172323,324.5
83,Movie 83,Adventure,1995-05-22,8.0,2084998,1682.7
84,Movie 84,"Adventure, Thriller",2002-12-15,6.9,1154463,730.1
85,Movie 85,"Romance, Thriller, Action",2014-12-06,6.7,2130876,865.7
86,Movie 86,"Family, Sci-Fi, Action",1992-05-08,7.3,1367802,91.7
87,Movie 87,"Comedy, Sci-Fi, Action",1983-09-10,8.4,629654,1931.7
88,Movie 88,"Drama, Action",2016-05-16,7.7,1529024,593.9
89,Movie 89,Sci-Fi,2010-02-27,6.2,2162534,268.5
90,Movie 90,"Action, Comedy, Drama",2016-05-03,9.5,596821,1696.3
91,Movie 91,"Romance, Adventure",2008-08-10,9.0,1898642,950.9
92,Movie 92,"Action, Drama, Adventure",1993-11-07,6.9,440524,513.3
93,Movie 93,Family,1984-03-01,7.4,2070955,909.2
94,Movie 94,Sci-Fi,1998-12-28,7.6,1079050,2775.5
95,Movie 95,"Romance, Adventure, Action",2014-04-21,6.5,1214143,2488.6
96,Movie 96,Action,1990-05-20,8.6,2487427,2767.5
97,Movie 97,"Drama, Animation",1999-12-13,9.3,2199132,1642.9
98,Movie 98,"Drama, Action",2007-12-11,8.1,208485,319.4
99,Movie 99,"Action, Sci-Fi, Animation",1982-03-16,7.8,1954844,2752.4
100,Movie 100,Adventure,2020-08-03,7.6,1812736,1033.3
101,Movie 101,"Drama, Comedy, Animation",2006-12-16,7.0,1779618,2450.0
102,Movie 102,"Action, Animation, Family",2000-05-11,6.4,1795233,2601.5
103,Movie 103,Family,2009-07-02,6.7,1617412,1886.8
104,Movie 104,"Animation, Action",1993-05-18,6.5,1308081,1342.4
105,Movie 105,"Animation, Drama, Action",2020-10-26,6.8,764286,966.7
106,Movie 106,Family,2006-02-08,9.5,575890,1411.3
107,Movie 107,Comedy,2011-12-10,7.8,1246827,1275.7
108,Movie 108,"Animation, Romance",2009-09-05,7.3,2231716,2251.6
109,Movie 109,Drama,1997-07-11,9.3,2229606,838.2
110,Movie 110,Sci-Fi,1999-10-19,9.5,2153700,2602.5
111,Movie 111,"Family, Animation",2002-06-18,8.7,1682133,1393.3
112,Movie 112,"Romance, Family",2016-07-08,9.0,1822915,178.8
113,Movie 113,"Animation, Adventure, Romance",2022-11-05,7.7,255271,422.4
114,Movie 114,"Thriller, Drama, Adventure",2008-02-17,9.2,164372,2181.2
115,Movie 115,"Comedy, Drama",2010-05-11,8.2,1767165,1967.0
116,Movie 116,"Family, Adventure",2000-11-23,9.1,2146600,2623.5
117,Movie 117,Drama,1995-11-22,9.2,1054146,2253.0
118,Movie 118,"Drama, Family",2008-03-23,7.0,221413,185.7
119,Movie 119,Sci-Fi,2002-06-14,6.5,2327873,1265.6
120,Movie 120,"Comedy, Family, Drama",1985-10-28,7.3,1110113,1518.1
121,Movie 121,"Comedy, Romance, Animation",2020-05-15,6.9,139415,2701.8
122,Movie 122,"Sci-Fi, Comedy",1984-08-12,9.5,1354743,1934.9
123,Movie 123,"Sci-Fi, Animation",1999-04-13,9.0,547336,749.8
124,Movie 124,"Thriller, Sci-Fi, Family",1998-01-27,8.3,1251254,73.9
125,Movie 125,"Action, Animation, Adventure",1998-04-20,8.8,1018571,1928.0
126,Movie 126,"Sci-Fi, Comedy, Thriller",1986-11-21,6.1,1948946,148.4
127,Movie 127,"Comedy, Drama",1998-06-24,7.5,942194,439.9
128,Movie 128,"Thriller, Sci-Fi, Adventure",1990-05-27,9.3,1337912,2252.4
129,Movie 129,"Drama, Animation",1984-03-25,9.4,1766864,2903.4
130,Movie 130,"Thriller, Drama, Adventure",2005-01-09,7.9,2007510,1137.3
131,Movie 131,"Sci-Fi, Adventure, Animation",2020-06-04,8.4,2077517,123.8
132,Movie 132,"Thriller, Romance, Family",1984-11-27,7.6,1367477,1965.3
133,Movie 133,Comedy,1982-01-10,9.5,587044,336.7
134,Movie 134,"Comedy, Adventure, Romance",2003-11-24,8.4,2365731,1286.4
135,Movie 135,"Comedy, Adventure, Thriller",1986-08-20,7.4,1273315,146.5
136,Movie 136,"Romance, Animation",2008-04-28,7.3,1640714,1656.2
137,Movie 137,"Thriller, Action, Romance",1997-04-04,9.3,2007222,320.4
138,Movie 138,Action,1983-06-08,9.5,2468011,655.4
139,Movie 139,"Romance, Family, Adventure",1994-06-25,6.5,111893,868.0
140,Movie 140,Comedy,2014-05-26,6.6,208129,438.8
141,Movie 141,"Romance, Thriller",1981-03-09,6.2,1865636,1602.0
142,Movie 142,"Drama, Animation, Romance",2003-09-19,6.4,2213252,703.6
143,Movie 143,"Action, Sci-Fi, Romance",2021-01-02,9.5,1784504,1307.5
144,Movie 144,Animation,2008-02-03,7.1,722157,243.8
145,Movie 145,"Family, Thriller",2004-10-17,7.0,2220434,1836.0
146,Movie 146,Drama,2021-11-25,7.9,1001872,1318.7
147,Movie 147,Adventure,2001-08-13,7.5,498818,972.0
148,Movie 148,"Sci-Fi, Thriller",1989-11-16,6.2,458044,325.0
149,Movie 149,Thriller,1988-09-02,8.1,2455464,1707.0
150,Movie 150,"Drama, Adventure, Comedy",2022-07-28,9.2,315780,2906.8
151,Movie 151,"Sci-Fi, Thriller, Action",2016-09-07,6.5,2122448,711.5
152,Movie 152,Thriller,2015-06-04,8.7,1048579,2431.3
153,Movie 153,"Family, Action, Sci-Fi",2022-12-09,6.1,1246179,2123.0
154,Movie 154,"Thriller, Family",1980-03-28,6.5,1781011,255.3
155,Movie 155,"Action, Drama, Thriller",2013-04-13,7.5,1529821,514.4
156,Movie 156,"Thriller, Drama",1983-03-06,8.6,308719,2038.2
157,Movie 157,"Animation, Adventure",2011-10-15,7.4,1004161,2277.1
158,Movie 158,Thriller,2007-02-10,8.4,2141085,1604.5
159,Movie 159,"Action, Romance",2005-10-02,6.0,1364244,2838.7
160,Movie 160,Sci-Fi,1998-06-04,6.0,1906298,568.3
161,Movie 161,"Family, Romance",2012-09-27,8.3,1585484,262.6
162,Movie 162,"Action, Adventure, Family",2009-02-28,7.1,1900548,1741.5
163,Movie 163,"Adventure, Sci-Fi, Action",2005-01-11,6.6,2029786,2504.5
164,Movie 164,"Drama, Adventure",1986-04-14,8.1,2297658,282.0
165,Movie 165,"Thriller, Romance",2001-03-03,7.8,578262,1615.3
166,Movie 166,Thriller,2002-12-27,8.3,719456,747.0
167,Movie 167,Sci-Fi,1992-03-20,6.5,416054,572.6
168,Movie 168,"Animation, Family, Adventure",2016-10-15,8.4,2467650,1946.8
169,Movie 169,"Thriller, Family, Drama",2008-02-16,7.5,1370120,2399.2
170,Movie 170,"Action, Thriller, Sci-Fi",1984-05-15,7.6,338614,1137.8
171,Movie 171,"Drama, Family",2019-10-17,7.3,2424971,2865.0
172,Movie 172,"Action, Animation, Adventure",2016-11-07,7.1,2094932,1529.0
173,Movie 173,Animation,1986-06-23,6.3,823764,165.5
174,Movie 174,"Animation, Family, Sci-Fi",2013-10-06,7.3,1286541,1192.9
175,Movie 175,"Action, Thriller",1984-06-04,8.0,1721367,888.2
176,Movie 176,"Comedy, Thriller, Action",2017-11-05,9.2,1401206,2904.7
177,Movie 177,"Adventure, Comedy, Sci-Fi",1985-05-18,7.3,1477730,2448.9
178,Movie 178,"Family, Drama, Thriller",2022-07-17,7.3,1620844,961.2
179,Movie 179,Thriller,2011-04-08,9.5,749887,277.6
180,Movie 180,Family,2014-12-17,6.1,1512492,2635.4
181,Movie 181,"Comedy, Adventure, Drama",1990-03-27,8.4,794321,2177.5
182,Movie 182,Adventure,2003-11-24,6.8,1963104,1851.3
183,Movie 183,"Animation, Romance, Sci-Fi",1995-05-26,8.7,913762,1135.1
184,Movie 184,"Animation, Family, Adventure",1998-07-17,7.8,779721,2459.8
185,Movie 185,"Comedy, Sci-Fi, Action",2021-08-28,7.3,530292,2148.6
186,Movie 186,"Drama, Sci-Fi, Action",1990-05-15,9.2,718025,2501.6
187,Movie 187,Romance,2008-06-01,7.5,1762848,1530.9
188,Movie 188,Adventure,1985-06-08,6.1,515584,2525.6
189,Movie 189,"Thriller, Comedy, Drama",1982-05-27,7.7,682138,2288.6
190,Movie 190,"Animation, Action",1985-01-09,6.8,727130,1669.0
191,Movie 191,"Family, Adventure, Action",1998-04-10,6.4,1100087,1288.5
192,Movie 192,"Animation, Drama, Action",2011-10-18,6.1,2261642,1746.4
193,Movie 193,"Comedy, Sci-Fi, Romance",1980-10-12,6.8,1847211,602.6
194,Movie 194,"Drama, Thriller, Action",2013-09-17,8.8,2229123,1684.7
195,Movie 195,"Animation, Action",2020-07-12,6.9,168124,1103.4
196,Movie 196,Thriller,1995-12-22,8.2,1494684,443.6
197,Movie 197,"Family, Thriller",2021-03-27,8.7,2048769,2943.4
198,Movie 198,"Comedy, Family",1984-12-25,9.3,255121,915.7
199,Movie 199,Romance,1982-06-10,7.8,2377635,1446.5
200,Movie 200,Romance,1998-06-28,8.7,1492193,856.0
201,Movie 201,"Adventure, Family",2008-07-11,9.4,2181227,2091.6
202,Movie 202,"Family, Sci-Fi",1985-12-14,6.3,856889,1659.1
203,Movie 203,"Drama, Family",2000-11-10,7.1,1887260,541.6
204,Movie 204,"Thriller, Animation",1982-12-28,9.2,1924272,859.9
205,Movie 205,Drama,2022-11-13,7.3,771032,2860.7
206,Movie 206,Animation,1982-03-03,6.8,1636492,1118.3
207,Movie 207,"Action, Comedy, Thriller",2008-06-12,7.6,422480,1743.1
208,Movie 208,"Thriller, Adventure, Comedy",2021-05-08,9.4,208688,2220.2
209,Movie 209,"Family, Adventure",2015-02-09,8.7,1971805,683.0
210,Movie 210,"Sci-Fi, Animation, Drama",1987-03-28,6.3,824173,2701.1
211,Movie 211,"Drama, Thriller",2022-06-23,6.2,2374031,906.6
212,Movie 212,"Comedy, Family",2003-09-08,6.4,942972,2386.6
213,Movie 213,Animation,1981-06-18,8.0,2060442,2420.8
214,Movie 214,"Comedy, Drama, Action",1999-07-23,8.5,2304927,1261.8
215,Movie 215,"Drama, Comedy",2000-11-03,7.6,2269965,1066.3
216,Movie 216,"Comedy, Family, Romance",2012-01-27,6.4,741793,947.2
217,Movie 217,Thriller,1994-06-17,9.1,430762,789.3
218,Movie 218,"Family, Sci-Fi, Drama",2020-05-20,7.9,2207944,1940.9
219,Movie 219,"Comedy, Family, Thriller",2019-12-20,7.2,2463985,171.5
220,Movie 220,Drama,1982-11-25,8.0,984194,2312.5
221,Movie 221,"Action, Animation",2020-09-10,8.2,1367074,1474.7
222,Movie 222,"Adventure, Sci-Fi, Romance",1984-12-02,6.6,1843243,1478.5
223,Movie 223,Thriller,2018-03-11,9.0,1439310,2215.9
224,Movie 224,"Adventure, Comedy",2003-09-18,6.4,1113922,1426.1
225,Movie 225,"Animation, Romance",1989-02-02,7.0,1711241,2599.3
226,Movie 226,"Romance, Comedy",2000-10-24,7.1,768330,1519.9
227,Movie 227,"Animation, Family, Comedy",2011-01-03,9.3,2219987,1398.8
228,Movie 228,Romance,2017-06-02,6.2,2175736,1812.7
229,Movie 229,"Animation, Sci-Fi, Family",1980-02-14,6.5,1209279,2196.1
230,Movie 230,"Thriller, Action",2005-01-19,8.0,1620534,1682.0
231,Movie 231,Adventure,2012-08-25,7.9,598329,429.6
232,Movie 232,Adventure,2003-06-18,9.3,705101,637.2
233,Movie 233,"Adventure, Action, Animation",1982-03-23,7.2,2087026,1582.0
234,Movie 234,Family,1988-06-20,7.1,1748170,2972.3
235,Movie 235,"Sci-Fi, Thriller, Family",2012-09-16,8.5,1357412,1450.9
236,Movie 236,Thriller,2001-11-04,9.4,1390494,2400.4
237,Movie 237,"Action, Animation, Comedy",2021-10-19,6.8,315399,1771.4
238,Movie 238,Family,2020-12-20,8.7,1694633,485.9
239,Movie 239,"Romance, Action, Sci-Fi",1987-04-01,7.5,1856491,496.7
240,Movie 240,"Romance, Adventure, Sci-Fi",2019-08-28,9.0,361226,2132.0
241,Movie 241,"Romance, Thriller, Animation",2010-09-13,7.1,826379,1406.0
242,Movie 242,"Thriller, Family, Animation",2023-11-26,8.4,2130798,617.2
243,Movie 243,Sci-Fi,2015-05-08,9.3,1348285,2325.0
244,Movie 244,"Romance, Animation, Comedy",2010-06-18,9.3,1246964,899.0
245,Movie 245,"Family, Adventure, Romance",2002-03-10,6.1,431473,1071.8
246,Movie 246,"Sci-Fi, Animation",1993-04-27,7.9,2457274,2103.7
247,Movie 247,Drama,2019-12-19,6.8,312925,2026.0
248,Movie 248,"Romance, Family, Action",1986-07-11,8.5,521715,2059.5
249,Movie 249,Action,2015-03-14,8.3,2095228,1458.5
250,Movie 250,Sci-Fi,2000-05-21,6.2,475225,1974.3
251,Movie 251,Family,1982-03-14,9.1,837311,2805.1
252,Movie 252,Adventure,2011-03-24,9.4,1314112,2636.4
253,Movie 253,Sci-Fi,2016-10-04,9.2,1505268,889.5
254,Movie 254,"Family, Animation, Drama",2012-08-09,6.7,572474,1025.5
255,Movie 255,"Animation, Sci-Fi, Thriller",1991-01-24,7.2,1337421,1725.0
256,Movie 256,Comedy,2019-11-13,8.9,2261243,1017.4
257,Movie 257,"Drama, Comedy",1988-08-11,9.3,128647,819.3
258,Movie 258,Animation,1997-06-10,8.0,147964,821.6
259,Movie 259,"Romance, Action",2022-02-15,7.1,1800440,2073.9
260,Movie 260,"Sci-Fi, Drama, Thriller",1998-06-20,6.8,660228,1460.6
261,Movie 261,"Thriller, Adventure",2015-08-25,7.9,1016084,2297.5
262,Movie 262,"Drama, Animation, Sci-Fi",2003-02-19,6.4,2397007,2713.5
263,Movie 263,Family,1989-03-11,9.0,1953213,392.9
264,Movie 264,Animation,1985-09-15,8.8,2001832,439.2
265,Movie 265,"Animation, Action",2015-08-22,8.8,191311,1218.0
266,Movie 266,Romance,2017-02-02,7.5,367428,1646.4
267,Movie 267,Drama,2010-01-10,7.4,668029,2309.2
268,Movie 268,"Adventure, Thriller, Romance",2008-07-13,6.3,2361989,442.3
269,Movie 269,"Drama, Comedy",2014-07-17,6.4,1034030,2512.7
270,Movie 270,Sci-Fi,2009-11-24,7.9,2331091,1168.9
271,Movie 271,Romance,2009-06-05,7.0,573304,145.0
272,Movie 272,"Adventure, Action, Drama",1993-02-04,8.1,1972509,1813.5
273,Movie 273,"Action, Romance, Thriller",1982-07-15,6.8,1011293,2275.4
274,Movie 274,Comedy,2012-05-08,8.9,1437579,1753.6
275,Movie 275,"Thriller, Romance, Comedy",1989-11-17,6.8,1360392,861.7
276,Movie 276,"Comedy, Adventure, Sci-Fi",2011-01-12,9.3,1698678,2368.1
277,Movie 277,"Adventure, Family",1989-05-13,6.6,2356234,1446.9
278,Movie 278,Sci-Fi,1989-08-02,8.0,1846960,1694.0
279,Movie 279,Adventure,1995-05-07,7.2,431645,2770.6
280,Movie 280,"Drama, Romance",1983-05-13,8.4,265874,2627.2
281,Movie 281,Family,1993-08-07,9.0,1496553,944.4
282,Movie 282,Romance,1992-12-04,8.6,2108739,2747.6
283,Movie 283,"Romance, Adventure, Drama",2015-06-25,7.0,2055596,1624.3
284,Movie 284,"Sci-Fi, Family",2003-09-16,7.6,2069185,2296.8
285,Movie 285,"Romance, Thriller",2000-07-02,8.0,1028090,2236.7
286,Movie 286,Sci-Fi,2015-10-19,8.5,1338126,499.6
287,Movie 287,"Romance, Adventure",2016-04-16,7.9,1515847,809.1
288,Movie 288,"Animation, Family",1990-12-26,7.2,687028,2174.9
289,Movie 289,"Comedy, Action",2013-01-27,9.0,303484,2304.8
290,Movie 290,"Comedy, Romance",1984-12-05,6.0,2221197,1395.2
291,Movie 291,Animation,2022-08-01,6.0,2413760,1263.4
292,Movie 292,Family,1997-09-10,6.1,1905954,2428.2
293,Movie 293,Drama,1986-09-05,6.8,2308116,794.6
294,Movie 294,"Sci-Fi, Adventure",1985-06-13,7.6,1120087,2971.2
295,Movie 295,Sci-Fi,2023-02-21,9.5,232894,325.8
296,Movie 296,"Adventure, Animation",1983-11-01,8.5,446810,1524.6
297,Movie 297,"Thriller, Drama",2013-01-08,6.7,2477265,1452.7
298,Movie 298,Drama,2023-05-18,8.0,238000,579.1
299,Movie 299,"Action, Romance",2017-03-25,8.9,1770574,2790.2
300,Movie 300,"Comedy, Romance",2016-07-22,9.1,1491375,1182.3
301,Movie 301,"Comedy, Drama, Sci-Fi",2002-01-04,7.5,418843,1054.7
302,Movie 302,"Adventure, Thriller, Action",2020-05-26,9.5,2157740,723.0
303,Movie 303,"Adventure, Family, Drama",2023-10-22,7.3,1338911,2404.3
304,Movie 304,"Drama, Family, Comedy",1989-07-23,8.7,747084,2232.0
305,Movie 305,"Thriller, Drama",1985-01-10,7.6,1231482,351.6
306,Movie 306,Comedy,2007-08-18,7.9,1811461,354.7
307,Movie 307,Thriller,2015-02-20,8.1,1460759,2598.0
308,Movie 308,Sci-Fi,2006-07-25,6.3,2446866,2720.4
309,Movie 309,Family,1990-11-13,6.6,1227927,938.3
310,Movie 310,"Comedy, Drama",1990-07-09,7.5,2131013,2358.9
311,Movie 311,"Sci-Fi, Romance",2020-08-20,8.2,2020410,365.6
312,Movie 312,"Action, Adventure",2001-10-13,8.8,1482198,1348.7
313,Movie 313,"Comedy, Sci-Fi",2000-10-23,6.7,1417780,574.0
314,Movie 314,"Thriller, Sci-Fi",2020-08-19,8.7,1466865,1159.4
315,Movie 315,"Thriller, Drama",2016-04-19,9.5,854669,2061.1
316,Movie 316,"Action, Animation, Thriller",1993-08-26,7.0,390072,2465.9
317,Movie 317,"Animation, Comedy",2020-05-08,6.9,746523,2159.9
318,Movie 318,"Drama, Animation",2018-08-19,7.4,2224887,2774.3
319,Movie 319,"Adventure, Action, Family",2003-12-26,7.9,456440,372.6
320,Movie 320,Thriller,1990-11-20,6.2,1776118,2902.1
321,Movie 321,"Adventure, Drama",1980-02-09,6.8,2275995,1696.1
322,Movie 322,"Romance, Animation, Comedy",2005-08-25,8.4,2199105,494.7
323,Movie 323,Animation,1986-05-14,9.2,460101,392.4
324,Movie 324,"Comedy, Thriller, Family",2001-08-26,6.7,2125538,1077.5
325,Movie 325,Animation,2008-06-03,7.1,582702,116.6
326,Movie 326,"Drama, Comedy",1995-09-06,7.9,1488271,1701.6
327,Movie 327,"Romance, Adventure",2020-03-06,8.2,1912503,1217.0
328,Movie 328,"Romance, Animation, Sci-Fi",2007-07-01,8.5,963122,871.1
329,Movie 329,"Drama, Family, Adventure",2014-03-12,7.1,2019105,386.2
330,Movie 330,"Animation, Thriller, Sci-Fi",2004-10-13,8.1,1559301,1088.4
331,Movie 331,"Comedy, Sci-Fi",2019-10-03,8.4,1413596,397.7
332,Movie 332,"Drama, Comedy",2003-12-05,7.8,1854221,1809.5
333,Movie 333,"Adventure, Family, Drama",2011-11-18,8.4,826599,1687.0
334,Movie 334,"Sci-Fi, Comedy",1991-06-27,7.6,324861,2603.3
335,Movie 335,Animation,1988-04-27,7.3,2455445,1541.0
336,Movie 336,"Adventure, Animation",2006-12-27,7.6,801511,293.9
337,Movie 337,Romance,1998-01-09,6.8,1310771,546.2
338,Movie 338,"Animation, Drama",2016-02-09,8.7,1638729,1649.0
339,Movie 339,Animation,2014-04-14,6.4,1138222,928.2
340,Movie 340,Animation,1996-06-28,8.9,1941592,2602.6
341,Movie 341,Romance,1993-12-19,8.4,1895862,539.6
342,Movie 342,Romance,1993-01-19,7.2,1278956,1810.7
343,Movie 343,Thriller,1998-05-19,6.9,2257612,2957.2
344,Movie 344,"Drama, Comedy, Adventure",2006-01-09,9.0,632207,2119.2
345,Movie 345,Romance,1989-12-11,8.9,1747106,1493.9
346,Movie 346,"Sci-Fi, Adventure, Romance",2008-02-21,8.8,490467,1238.4
347,Movie 347,"Sci-Fi, Thriller, Romance",2011-06-19,6.0,490664,2206.2
348,Movie 348,"Thriller, Drama",2014-07-07,9.4,988569,1509.4
349,Movie 349,"Sci-Fi, Thriller",2015-10-05,8.0,2135654,2375.5
350,Movie 350,"Action, Family, Animation",2020-08-01,6.4,762630,1351.8
351,Movie 351,Adventure,1992-12-05,9.1,1366115,519.0
352,Movie 352,"Drama, Thriller",1996-02-12,8.3,794262,202.8
353,Movie 353,"Sci-Fi, Romance, Animation",2021-02-23,6.3,995153,1456.6
354,Movie 354,Romance,2013-11-15,6.0,1541054,2460.5
355,Movie 355,"Comedy, Animation",1984-04-13,6.3,529610,354.4
356,Movie 356,"Sci-Fi, Comedy",2004-03-21,9.5,699169,251.8
357,Movie 357,"Action, Comedy, Romance",2002-12-07,8.2,734909,2763.7
358,Movie 358,"Animation, Romance, Action",1986-03-25,6.4,1710746,1087.0
359,Movie 359,"Thriller, Comedy",1995-05-21,6.3,2421113,1822.9
360,Movie 360,"Sci-Fi, Action, Adventure",2022-05-07,7.8,2237092,606.5
361,Movie 361,"Sci-Fi, Action",1995-08-13,6.4,2195401,1932.3
362,Movie 362,Family,1980-06-11,6.5,2483960,1291.5
363,Movie 363,"Comedy, Animation, Adventure",1984-01-19,6.2,1199684,686.4
364,Movie 364,Adventure,2012-05-21,8.5,1842448,1299.5
365,Movie 365,"Drama, Comedy",1997-02-10,6.3,952272,2924.2
366,Movie 366,Family,2000-07-19,8.2,377306,965.0
367,Movie 367,"Romance, Action",1995-02-14,6.4,330806,962.4
368,Movie 368,"Comedy, Drama, Action",1988-12-01,6.6,1554186,1592.9
369,Movie 369,"Sci-Fi, Comedy, Animation",1988-12-25,9.1,595165,2325.7
370,Movie 370,Thriller,2007-05-17,6.2,423255,1513.6
371,Movie 371,"Thriller, Action, Romance",2016-03-12,6.6,531614,2688.1
